"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"TRIP13",6.34585002039965e-07,8.83009441047361e-06,5.9483348933039e-05
"HMMR",1.15375549727618e-07,1.24418123918434e-06,0.000140301387157093
"TMEM38A",2.51457246434141e-07,3.80627936279748e-06,0.00056408713480378
"MCM2",4.61208399692266e-10,4.73092190157553e-09,4.09167898264898e-05
"MAP3K13",0.00153876981389486,0.00341480934661968,0.0185493975612416
"VDAC1P1",0.000562435468705975,0.00159166772023509,0.0265382411927688
"PPP2R2C",0.000250718400780322,0.000873826337299325,0.00155085227698308
"ENO1",0.00139996558320436,0.00290608670579498,0.0122787213597419
"SRI",0.000294033867307341,0.000621335449186102,0.013422274768834
"NUP37",0.00384739146523687,0.0081992384814266,0.0404002595396557
"GTSE1",5.11631142088871e-08,5.95304329391176e-07,2.33021143630603e-05
"CELSR1",0.00013626458654212,0.000252934956236531,0.000657895623720528
"SLC25A40",0.000139975799606878,0.000518545852657915,0.00526805146770066
"WDR62",3.99924604792758e-09,5.83481281731224e-08,3.04531735708431e-05
"UNG",0.000292383485843458,0.000651932481334506,0.0075961167172072
"SPAG5",2.7915703203637e-06,7.70774031286665e-06,0.000773833228849176
"TPD52",0.0001159121057828,0.000281977440198221,0.000667152110549419
"UBE2T",1.99866731018892e-08,2.5351730473779e-07,4.09167898264898e-05
"EXOSC5",0.000495652827962106,0.00164699807054918,0.00420337145146463
"NEBL",4.5873472324857e-05,0.000107411871540598,0.0460285166211454
"CBFA2T2",0.00566550934991708,0.00966925947147861,0.0426046813637782
"TP73",2.36642053118054e-05,6.68084941339039e-05,0.00147487172479707
"PAFAH1B3",2.34341238586559e-07,3.1029659998779e-06,8.26500028758579e-05
"KIF22",8.59668441484206e-08,8.9822464921909e-07,6.54490325586621e-05
"NDC80",1.0922525946919e-07,8.67122607139873e-07,0.000674255945815972
"PCDHA6",0.000121293515398235,0.000302808785408678,0.00993847416804984
"C5orf22",0.00397562354442268,0.00950087384848907,0.0292514111297501
"FAM135A",0.00147171687596665,0.00307571035140508,0.012319022473199
"DLG3",0.00260032918131351,0.00504249837969729,0.0126060224530288
"PALB2",0.000176460157401024,0.00149334723432524,0.00375116245112769
"GRHL2",0.00306783037263693,0.00536038438015443,0.00120032150010264
"CAD",0.0024335201147844,0.00678097961527887,0.0110843522902692
"CD82",0.0161907529642736,0.0225593263933646,0.0449487731423154
"SLC25A24",0.00628560038475061,0.012616100991285,0.0327954852993379
"IGSF9",0.000430710173164134,0.000881615139764108,0.00136074710471074
"ORC1",4.4965419394263e-06,3.23243544286055e-05,0.000114088984979827
"RAD54L",9.81333173433002e-08,7.31478912354022e-07,5.58617932282623e-05
"EIF2AK1",0.000341760255041524,0.00152063235001278,0.00200925666736557
"L2HGDH",0.00015024568216148,0.000841475728444532,0.00417951682560674
"AURKA",3.41449560188814e-10,8.92307366601249e-09,5.9483348933039e-05
"ALG6",0.00315131898468937,0.0111064486624165,0.0138493528442887
"DNMT3B",2.07118723091344e-07,1.83992214878181e-06,0.000205415904288336
"TPX2",1.3901722789442e-13,6.51159838512611e-12,2.8059055159188e-06
"PDRG1",0.000303564353434903,0.00145125428628344,0.0049265666366041
"SLC4A11",0.00114285951687136,0.00211184902411133,0.0398124475825014
"BIRC5",3.5019154398507e-08,4.9445073673196e-07,2.88207737894625e-05
"KIF4A",4.40900379664912e-11,2.35867310927764e-09,2.08195773198953e-05
"NAT14",0.0039251021554397,0.00903873050165825,0.00688893667609888
"SEL1L3",0.00532050985889048,0.0101217250714535,0.0147348791496123
"ORC6",3.10226505688998e-11,3.21850253893028e-09,6.8063648403293e-06
"TMEM101",0.000607256151028466,0.00231252445699644,0.0061537591151085
"WDR76",1.23230802069473e-05,4.11472350779141e-05,0.00334991493958997
"CLSPN",7.1774899426106e-08,5.06497334344787e-07,4.2325842632431e-05
"CDC45",3.07784726896842e-07,3.4209559928541e-06,4.62753091005264e-05
"CDC6",0.00567987482700024,0.0108982833852442,0.00153657851961004
"MSH2",0.000186368676870371,0.000359078977930507,0.00731785364141556
"SRPK1",0.00114460404439913,0.00230127702322654,0.00944497954503553
"TMEM14A",0.00288128560256995,0.00540745623366726,0.0413561433305272
"ITPR3",0.00157632393507197,0.00230127702322654,0.00465314370103716
"DSP",0.00133833035073818,0.00273282376339012,0.0013026619124109
"ACOT7",2.8759261842726e-05,0.000102895749391417,0.00180169691217402
"CDC7",0.000458662189804096,0.000899913958542668,0.0171110725436584
"RASSF7",0.00925082429907683,0.0139347481691647,0.0116802557667266
"MMP11",0.00760946857027801,0.0115104195391213,0.000937511346263209
"CCDC134",0.000274766883322295,0.00125014514318978,0.00360699265534206
"CENPM",0.000220778809269962,0.000623767871597328,0.000448385021626253
"SEPTIN3",3.70205475021426e-07,2.53758051300955e-06,0.0026568922704797
"TCF20",0.0011178987785418,0.00302710971559404,0.00547584351064427
"MCM5",0.000928134158251481,0.00232785300148657,0.00632891566890826
"COCH",6.80847983334401e-05,0.000213787210263969,0.00904311537004265
"POLE2",3.84880409332374e-05,0.000115728406386247,0.0192744064348518
"CDKN3",7.01927345575223e-05,0.000293280321353118,0.00324610590936871
"PLEK2",0.00928826210546258,0.0176527674870945,0.0275896051331387
"SIX4",3.36290286443393e-08,2.2762560776311e-07,0.000236961100965816
"VRK1",0.000483772994271648,0.000868935773136397,0.0293667692606167
"GSS",8.94017474837992e-06,6.47051079248245e-05,0.000489458645304617
"GINS1",3.60961301301271e-10,7.68913171505134e-09,2.05127365565261e-05
